,SN(CPU),,,,,,,,,,,,,,,,,
FWD,00(00),00(01),00(11),00(10),01(10),01(11),01(01),01(00),11(00),11(01),11(11),11(10),10(10),10(11),10(01),10(00),,
00,0,1,0,0,0,0,x,0,0,1,0,0,0,0,1,0,,Ping select bit 1
01,1,x,1,1,x,x,x,x,1,x,1,1,1,1,x,1,,
10,0,1,0,0,0,0,x,0,0,1,0,0,0,0,1,0,,=F'W+SC'P+S'N'C'P
11,0,1,0,0,0,0,x,0,0,1,0,0,0,0,1,0,,=F'W+C'P(S+S'N')
,,,,,,,,,,,,,,,,,,=F'W+C'P(S+N')
,SN(CPU),,,,,,,,,,,,,,,,,
FWD,00(00),00(01),00(11),00(10),01(10),01(11),01(01),01(00),11(00),11(01),11(11),11(10),10(10),10(11),10(01),10(00),,
00,0,0,0,0,1,1,x,1,0,0,0,0,0,0,0,0,,Ping select bit 0
01,1,x,1,1,x,x,x,x,1,x,1,1,1,1,x,1,,
10,0,0,0,0,1,1,x,1,0,0,0,0,0,0,0,0,,=F'W+S'N
11,0,0,0,0,1,1,x,1,0,0,0,0,0,0,0,0,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,SN(CPU),,,,,,,,,,,,,,,,,
FWD,00(00),00(01),00(11),00(10),01(10),01(11),01(01),01(00),11(00),11(01),11(11),11(10),10(10),10(11),10(01),10(00),,
00,0,0,0,1,1,0,0,0,0,0,0,1,x,0,0,0,,Pang select bit 1
01,0,0,0,1,1,0,0,0,0,0,0,1,x,0,0,0,,
10,1,1,1,x,x,1,1,1,1,1,1,x,x,x,x,x,,=FW'+CP'
11,0,0,0,1,1,0,0,0,0,0,0,1,x,0,0,0,,
,,,,,,,,,,,,,,,,,,
,SN(CPU),,,,,,,,,,,,,,,,,
FWD,00(00),00(01),00(11),00(10),01(10),01(11),01(01),01(00),11(00),11(01),11(11),11(10),10(10),10(11),10(01),10(00),,
00,0,0,0,0,0,0,0,0,0,0,0,0,x,1,1,1,,Pang select bit 0
01,0,0,0,0,0,0,0,0,0,0,0,0,x,1,1,1,,
10,1,1,1,x,x,1,1,1,1,1,1,x,x,x,x,x,,=FW'+SN'
11,0,0,0,0,0,0,0,0,0,0,0,0,x,1,1,1,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,SN(CPU),,,,,,,,,,,,,,,,,
FWD,00(00),00(01),00(11),00(10),01(10),01(11),01(01),01(00),11(00),11(01),11(11),11(10),10(10),10(11),10(01),10(00),,
00,0,0,1,0,0,1,0,0,0,0,x,0,0,1,0,0,,Pung select bit 1
01,0,0,1,0,0,1,0,0,0,0,x,0,0,1,0,0,,
10,0,0,1,0,0,1,0,0,0,0,x,0,0,1,0,0,,=FW+CP(S'+N')
11,1,1,x,1,1,x,1,1,x,x,x,x,1,x,1,1,,
,,,,,,,,,,,,,,,,,,
,SN(CPU),,,,,,,,,,,,,,,,,
FWD,00(00),00(01),00(11),00(10),01(10),01(11),01(01),01(00),11(00),11(01),11(11),11(10),10(10),10(11),10(01),10(00),,
00,0,0,0,0,0,0,0,0,1,1,x,1,0,0,0,0,,Pung select bit 0
01,0,0,0,0,0,0,0,0,1,1,x,1,0,0,0,0,,
10,0,0,0,0,0,0,0,0,1,1,x,1,0,0,0,0,,=FW+SN
11,1,1,x,1,1,x,1,1,x,x,x,x,1,x,1,1,,